DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
,,,LCPFCT-A Flux-Corrected Transport Algorithm for Solving Generalized Continuity Equations,"Abstract : Flux-Corrected Transport has proven to be an accurate and easy to use an algorithm to solve nonlinear, time-dependent continuity equations of the type which occur in fluid dynamics, reactive, multiphase, and elastic plastic flows, plasmadynamics, and magnetohydrodynamics. This report updates and supersedes a previous report entitled Flux-Corrected Transport Modules for Solving Generalized Continuity Equations. It can be used as a user manual for subroutines and test programs included in the appendices. The entire LCPFCT library in its most recent from is presented and discussed in detail. There are, in addition, discussions of more general topics such as the application of physical boundary conditions, physical positivity and numerical diffusion which help to put the numerical aspects to this subroutine library in context.","J. P. Boris,Jay P. Boris,Alexandra Landsberg,Alexandra Landsberg,Elaine S. Oran,Elaine S. Oran,John Gardner,John H. Gardner,John H. Gardner,John H. Gardner",,1993
10.1016/0370-1573(74)90023-4,,,The Renormalization group and the epsilon expansion,"The modern formulation of the renormalization group is explained for both critical phenomena in classical statistical mechanics and quantum field theory. The expansion in ϵ = 4− d is explained [ d is the dimension of space (statistical mechanics) or space-time (quantum field theory)]. The emphasis is on principles, not particular applications. Sections 1–8 provide a self-contained introduction at a fairly elementary level to the statistical mechanical theory. No background is required except for some prior experience with diagrams. In particular, a diagrammatic approximation to an exact renormalization group equation is presented in sections 4 and 5; sections 6–8 include the approximate renormalization group recursion formula and the Feyman graph method for calculating exponents. Sections 10–13 go deeper into renormalization group theory (section 9 presents a calculation of anomalous dimensions). The equivalence of quantum field theory and classical statistical mechanics near the critical point is established in section 10; sections 11–13 concern problems common to both subjects. Specific field theoretic references assume some background in quantum field theory. An exact renormalization group equation is presented in section 11; sections 12 and 13 concern fundamental topological questions.","Kenneth G. Wilson,Kenneth G. Wilson,John B. Kogut,John B. Kogut",Physics Reports,1973
,,,Model and theoretical seismicity,"abstract   A laboratory and a numerical model have been constructed to explore the role of friction along a fault as a factor in the earthquake mechanism. The laboratory model demonstrates that small shocks are necessary to the loading of potential energy into the focal structure; a large part, but not all, of the stored potential energy is later released in a major shock, at the end of a period of loading energy into the system. By the introduction of viscosity into the numerical model, aftershocks take place following a major shock. Both models have features which describe the statistics of shocks in the main sequence, the statistics of aftershocks and the energy-magnitude scale, among others.","Robert Burridge,R. Burridge,L. Knopoff,Leon Knopoff,L. Knopoff",Bulletin of the Seismological Society of America,1967
,,,Fractals and Disordered Systems,"1 Fractals and Multifractals: The Interplay of Physics and Geometry (With 30 Figures).- 1.1 Introduction.- 1.2 Nonrandom Fractals.- 1.3 Random Fractals: The Unbiased Random Walk.- 1.4 The Concept of a Characteristic Length.- 1.5 Functional Equations and Fractal Dimension.- 1.6 An Archetype: Diffusion Limited Aggregation.- 1.7 DLA: Fractal Properties.- 1.8 DLA: Multifractal Properties.- 1.8.1 General Considerations.- 1.8.2 ""Phase Transition"" in 2d DLA.- 1.8.3 The Void-Channel Model of 2d DLA Growth.- 1.8.4 Multifractal Scaling of 3d DLA.- 1.9 Scaling Properties of the Perimeter of 2d DLA: The ""Glove"" Algorithm.- 1.9.1 Determination of the l Perimeter.- 1.9.2 The l Gloves.- 1.9.3 Necks and Lagoons.- 1.10 Multiscaling.- 1.11 The DLA Skeleton.- 1.12 Applications of DLA to Fluid Mechanics.- 1.12.1 Archetype 1: The Ising Model and Its Variants.- 1.12.2 Archetype 2: Random Percolation and Its Variants.- 1.12.3 Archetype 3: The Laplace Equation and Its Variants.- 1.13 Applications of DLA to Dendritic Growth.- 1.13.1 Fluid Models of Dendritic Growth.- 1.13.2 Noise Reduction.- 1.13.3 Dendritic Solid Patterns: ""Snow Crystals"".- 1.13.4 Dendritic Solid Patterns: Growth of NH4Br.- 1.14 Other Fractal Dimensions.- 1.14.1 The Fractal Dimension dw of a Random Walk.- 1.14.2 The Fractal Dimension dmin ? 1/?? of the Minimum Path.- 1.14.3 Fractal Geometry of the Critical Path: ""Volatile Fractals"".- 1.15 Surfaces and Interfaces.- 1.15.1 Self-Similar Structures.- 1.15.2 Self-Affine Structures.- 1.A Appendix: Analogies Between Thermodynamics and Multifractal Scaling.- References.- 2 Percolation I (With 24 Figures).- 2.1 Introduction.- 2.2 Percolation as a Critical Phenomenon.- 2.3 Structural Properties.- 2.4 Exact Results.- 2.4.1 One-Dimensional Systems.- 2.4.2 The Cayley Tree.- 2.5 Scaling Theory.- 2.5.1 Scaling in the Infinite Lattice.- 2.5.2 Crossover Phenomena.- 2.5.3 Finite-Size Effects.- 2.6 Related Percolation Problems.- 2.6.1 Epidemics and Forest Fires.- 2.6.2 Kinetic Gelation.- 2.6.3 Branched Polymers.- 2.6.4 Invasion Percolation.- 2.6.5 Directed Percolation.- 2.7 Numerical Approaches.- 2.7.1 Hoshen-Kopelman Method.- 2.7.2 Leath Method.- 2.7.3 Ziff Method.- 2.8 Theoretical Approaches.- 2.8.1 Deterministic Fractal Models.- 2.8.2 Series Expansion.- 2.8.3 Small-Cell Renormalization.- 2.8.4 Potts Model, Field Theory, and ? Expansion.- 2.A Appendix: The Generating Function Method.- References.- 3 Percolation II (With 20 Figures).- 3.1 Introduction.- 3.2 Anomalous Transport in Fractals.- 3.2.1 Normal Transport in Ordinary Lattices.- 3.2.2 Transport in Fractal Substrates.- 3.3 Transport in Percolation Clusters.- 3.3.1 Diffusion in the Infinite Cluster.- 3.3.2 Diffusion in the Percolation System.- 3.3.3 Conductivity in the Percolation System.- 3.3.4 Transport in Two-Component Systems.- 3.3.5 Elasticity in Two-Component Systems.- 3.4 Fractons.- 3.4.1 Elasticity.- 3.4.2 Vibrations of the Infinite Cluster.- 3.4.3 Vibrations in the Percolation System.- 3.4.4 Quantum Percolation.- 3.5 ac Transport.- 3.5.1 Lattice-Gas Model.- 3.5.2 Equivalent Circuit Model.- 3.6 Dynamical Exponents.- 3.6.1 Rigorous Bounds.- 3.6.2 Numerical Methods.- 3.6.3 Series Expansion and Renormalization Methods.- 3.6.4 Continuum Percolation.- 3.6.5 Summary of Transport Exponents.- 3.7 Multifractals.- 3.7.1 Voltage Distribution.- 3.7.2 Random Walks on Percolation.- 3.8 Related Transport Problems.- 3.8.1 Biased Diffusion.- 3.8.2 Dynamic Percolation.- 3.8.3 The Dynamic Structure Model of Ionic Glasses.- 3.8.4 Trapping and Diffusion Controlled Reactions.- References.- 4 Fractal Growth (With 4 Figures).- 4.1 Introduction.- 4.2 Fractals and Multifractals.- 4.3 Growth Models.- 4.3.1 Eden Model.- 4.3.2 Percolation.- 4.3.3 Invasion Percolation.- 4.4 Laplacian Growth Model.- 4.4.1 Diffusion Limited Aggregation.- 4.4.2 Dielectric Breakdown Model.- 4.4.3 Viscous Fingering.- 4.4.4 Biological Growth Phenomena.- 4.5 Aggregation in Percolating Systems.- 4.5.1 Computer Simulations.- 4.5.2 Viscous Fingers Experiments.- 4.5.3 Exact Results on Model Fractals.- 4.5.4 Crossover to Homogeneous Behavior.- 4.6 Crossover in Dielectric Breakdown with Cutoffs.- 4.7 Is Growth Multifractal?.- 4.8 Conclusion.- References.- 5 Fractures (With 18 Figures).- 5.1 Introduction.- 5.2 Some Basic Notions of Elasticity and Fracture.- 5.2.1 Phenomenological Description.- 5.2.2 Elastic Equations of Motion.- 5.3 Fracture as a Growth Model.- 5.3.1 Formulation as a Moving Boundary Condition Problem.- 5.3.2 Linear Stability Analysis.- 5.4 Modelisation of Fracture on a Lattice.- 5.4.1 Lattice Models.- 5.4.2 Equations and Their Boundary Conditions.- 5.4.3 Connectivity.- 5.4.4 The Breaking Rule.- 5.4.5 The Breaking of a Bond.- 5.4.6 Summary.- 5.5 Deterministic Growth of a Fractal Crack.- 5.6 Scaling Laws of the Fracture of Heterogeneous Media.- 5.7 Hydraulic Fracture.- 5.8 Conclusion.- References.- 6 Transport Across Irregular Interfaces: Fractal Electrodes, Membranes and Catalysts (With 8 Figures).- 6.1 Introduction.- 6.2 The Electrode Problem and the Constant Phase Angle Conjecture.- 6.3 The Diffusion Impedance and the Measurement of the Minkowski-Bouligand Exterior Dimension.- 6.4 The Generalized Modified Sierpinski Electrode.- 6.5 A General Formulation of Laplacian Transfer Across Irregular Surfaces.- 6.6 Electrodes, Roots, Lungs,.- 6.7 Fractal Catalysts.- 6.8 Summary.- References.- 7 Fractal Surfaces and Interfaces (With 27 Figures).- 7.1 Introduction.- 7.2 Rough Surfaces of Solids.- 7.2.1 Self-Affine Description of Rough Surfaces.- 7.2.2 Growing Rough Surfaces: The Dynamic Scaling Hypothesis.- 7.2.3 Deposition and Deposition Models.- 7.2.4 Fractures.- 7.3 Diffusion Fronts: Natural Fractal Interfaces in Solids.- 7.3.1 Diffusion Fronts of Noninteracting Particles.- 7.3.2 Diffusion Fronts in d = 3.- 7.3.3 Diffusion Fronts of Interacting Particles.- 7.3.4 Fluctuations in Diffusion Fronts.- 7.4 Fractal Fluid-Fluid Interfaces.- 7.4.1 Viscous Fingering.- 7.4.2 Multiphase Flow in Porous Media.- 7.5 Membranes and Tethered Surfaces.- 7.6 Conclusions.- References.- 8 Fractals and Experiments (With 18 Figures).- 8.1 Introduction.- 8.2 Growth Experiments: How to Make a Fractal.- 8.2.1 The Generic DLA Model.- 8.2.2 Dielectric Breakdown.- 8.2.3 Electrodeposition.- 8.2.4 Viscous Fingering.- 8.2.5 Invasion Percolation.- 8.2.6 Colloidal Aggregation.- 8.3 Structure Experiments: How to Determine the Fractal Dimension.- 8.3.1 Image Analysis.- 8.3.2 Scattering Experiments.- 8.3.3 Sacttering Formalism.- 8.4 Physical Properties.- 8.4.1 Mechanical Properties.- 8.4.2 Thermal Properties.- 8.5 Outlook.- References.- 9 Cellular Automata (With 6 Figures).- 9.1 Introduction.- 9.2 A Simple Example.- 9.3 The Kauffman Model.- 9.4 Classification of Cellular Automata.- 9.5 Recent Biologically Motivated Developments.- 9.A Appendix.- 9.A.1 Q2R Approximation for Ising Models.- 9.A.2 Immunologically Motivated Cellular Automata.- 9.A.3 Hydrodynamic Cellular Automata.- References.- 10 Exactly Self-similar Left-sided Multifractals with new Appendices B and C by Rudolf H. Riedi and Benoit B. Mandelbrot (With 10 Figures).- 10.1 Introduction.- 10.1.1 Two Distinct Meanings of Multifractality.- 10.1.2 ""Anomalies"".- 10.2 Nonrandom Multifractals with an Infinite Base.- 10.3 Left-sided Multifractality with Exponential Decay of Smallest Probability.- 10.4 A Gradual Crossover from Restricted to Left-sided Multifractals.- 10.5 Pre-asymptotics.- 10.5.1 Sampling of Multiplicatively Generated Measures by a Random Walk.- 10.5.2 An ""Effective"" f(?).- 10.6 Miscellaneous Remarks.- 10.7 Summary.- 10.A Details of Calculations and Further Discussions.- 10.A.1 Solution of (10.2).- 10.A.2 The Case ?min = 0.- 10.B Multifractal Formalism for Infinite Multinomial Measures, by R.H. Riedi and B.B. Mandelbrot.- 10.C The Minkowski Measure and Its Left-sided f(?), by B.B. Mandelbrot.- 10.C.1 The Minkowski Measure on the Interval [0,1].- 10.C.2 The Functions f(?) and f?(?) of the Minkowski Measure.- 10.C.3 Remark: On Continuous Models as Approximations, and on ""Thermodynamics"".- 10.C.4 Remark on the Role of the Minkowski Measure in the Study of Dynamical Systems. Parabolic Versus Hyperbolic Systems.- 10.C.5 In Lieu of Conclusion.- References.","Armin Bunde,Armin Bunde,Armin Bunde,Shlomo Havlin,Shlomo Havlin",,1991
10.1103/physrevlett.79.665,,,SPIRAL WAVE MEANDER IN EXCITABLE MEDIA : THE LARGE CORE LIMIT,We show that the dynamics of spiral waves in excitable media can be reduced to a nonlinear equation of motion for the wave tip that is asymptotically exact in a parameter range where the motion takes place around a large central core region. The onset of meander is shown to occur naturally in this range in the usual free-boundary limit where the medium exhibits an abrupt response to a stimulus. This equation provides a simple understanding of the physical origin of the meandering instability of spiral waves and of the quasiperiodic motion of the wave tip.,"Vincent Hakim,Vincent Hakim,Alain Karma,Alain Karma",Physical Review Letters,1997
10.1103/physrevlett.76.4285,10061248,,Dynamics of a traveling density wave model for earthquakes.,"We propose a unifying new framework for friction and earthquakes. Predictions from theory include (1) scaling exponents, and (2) metastable lifetimes for nucleating slip droplets. Earthquake simulations produce Gutenberg-Richter distributions of events with b values similar to observed declustered values, and populations of characteristic earthquakes, with associated aftershocks. Time is a relevant scaling field, justifying statistical time-to-failure analyses. When applied to integrate-and-fire neurons, the theory yields an explicit equation for the cell potential.","John B. Rundle,John B. Rundle,Wolfgang Klein,William Klein,Susanna Gross,Susanna Gross",Physical Review Letters,1996
10.1103/physrevlett.76.940,10061590,,Simplest possible self-organized critical system.,"In order to pinpoint the nature of self-organized criticality, a simplest possible system exhibiting the phenomenon is introduced and analyzed. Its phase space is fully parametrized by two integer variables, one describing the state of a medium (sandpile), the other describing the state of a disturbance (avalanche) propagating in the medium, modifying it in the process. For asymptotically large systems, a scaling limit is obtained in which the system's state and dynamics is given by two real numbers and a simple partial differential equation. These results provide a full and transparent description of the dynamics that drives this system critical and keeps it in that state.","Henrik Flyvbjerg,Henrik Flyvbjerg",Physical Review Letters,1996
10.1103/physreve.51.1711,9962830,,Renormalization approach to the self-organized critical behavior of sandpile models.,"We introduce a renormalization scheme of a type that is able to describe the self-organized critical state (SOC) of sandpile models. We have defined a characterization of the phase space that allows us to study the evolution of the dynamics under change of scale. In addition, a stationarity condition provides a feedback mechanism that drives the system to its critical state. We obtain an attractive fixed point in the phase space of the parameters that clarifies the self-organized critical nature of these systems. The universality class of several models is identified by studying the properties of the basin of attraction of this fixed point. We compute analytically the avalanche exponent \ensuremath{\tau} and the dynamical exponent z for sandpile models in d=2. The values obtained are in very good agreement with computer simulations. The renormalization scheme can also be applied to study nonconservative sandpile models. The result is that the introduction of a dissipation parameter destroys the critical properties as suggested from simulations. The present theoretical framework seems particularly suitable for all SOC problems and can be naturally extended to other systems showing a critical nonequilibrium stationary state.","Alessandro Vespignani,Alessandro Vespignani,Stefano Zapperi,Stefano Zapperi,L. Pietronero,Luciano Pietronero,Luciano Pietronero",Physical Review E,1995
10.1016/0167-2789(86)90007-2,,,Spiral waves in the Belousov-Zhabotinskii reaction,"Abstract   The beautiful spiral waves of oxidation in the Belousov-Zhabotinskii reaction are the source of many interesting and important questions about periods structures in excitable media. It has long been known that these spirals are similar to involutes of circles, at least some distance from the center, but until now, no way has been known to determine the correct wavelength and frequency. In this paper, we show that the parameters of a spiral wave can be viwed s eigenvalues of a problem with unique solution. The critical ingredients of the theory are the effects of curvature on the propagation of wavefronts in two-dimensional media, and the dispersion of plane waves Our analytical results are shown to be in good agreement with experimental data for the Belousov-Zhabotinskii reagent.","James P. Keener,James P. Keener,John J. Tyson,John J. Tyson",Physica D: Nonlinear Phenomena,1986
10.1063/1.1348335,,,Collective modes in a strongly coupled dusty plasma,"It is widely recognized that in a typical dusty plasma encountered in the laboratory or outer space, the dust component is in a strongly coupled state because the interaction energy of neighboring dust particles due to shielded Coulomb (“Yukawa”) forces is much larger than their thermal energy. Low frequency collective modes involving the motion of dust particles are therefore greatly influenced by the strong correlation effects in the dust component. In this paper a dispersion relation for low-frequency collective modes using a generalized hydrodynamics model for the dust component has been derived. Strong correlation effects are described in terms of viscoelastic transport coefficients and a finite relaxation time for the memory kernel. Novel collective effects such as new corrections to dispersion terms for longitudinal dust acoustic waves and the existence of transverse shear waves supported by strong correlations have been identified. New physical processes involving nonuniform charge number equilibr...","P. K. Kaw,P. K. Kaw",Physics of Plasmas,2001
10.1103/physreva.41.4199,,,Random packing of disks in two dimensions,"The geometry of a random dense packing of disks of equal size obtained by compacting a random sequential adsorption configuration is discussed. The configuration is shown to be without any long-ranged order, and no local configurations of ordered domains were found. The fraction of area covered by disks is {theta}=0.772{plus minus}0.002, and the number of contacts per disk are 3.02{plus minus}0.03. It is argued that this random packing is a stable configuration close to the random loose-packed limit in two dimensions. The packing fraction of the compacted packing is close to a prediction we make of {theta}=0.78 for a random loose-packed configuration. Several statistical distributions calculated from the limiting geometry is studied. Both the area and circumference distributions of the Voronoi-Dirichlet polygons could be fitted to {Gamma} distribution functions.","Einar L. Hinrichsen,Einar L. Hinrichsen,Jens Feder,Jens Feder,Torstein Jøssang,Torstein Jøssang",Physical Review A,1990
10.1103/physrevlett.76.3368,10060949,,Critical behavior of the sandpile model as a self-organized branching process.,"Kinetic equations, which explicitly take into account the branching nature of sandpile avalanches, are derived. The dynamics of the sandpile model is described by the generating functions of a branching process. Having used the results obtained the renormalization group approach to the critical behavior of the sandpile model is generalized in order to calculate both critical exponents and height probabilities.","Ė. V. Ivashkevich,Ivashkevich Ev,E. V. Ivashkevich",Physical Review Letters,1996
